"","x"
"1","Olfm5"
"2","Bpifa1"
"3","Hp"
"4","Saa3"
"5","Cxcl5"
"6","Mfap5"
"7","Olfr1033"
"8","Osr1"
"9","D830025C05Rik"
"10","Itih2"
"11","4932411K12Rik"
"12","1110002E22Rik"
"13","Krt16"
"14","Chad"
"15","Col10a1"
"16","Tbx19"
"17","Shisa7"
"18","Gm49353"
"19","Olig2"
"20","Xkr7"
"21","Hey2"
"22","Plp1"
"23","Mpz"
"24","Clca3a1"
"25","Ugt8a"
"26","Igsf6"
"27","Gm49339"
"28","Laptm5"
"29","Nlrp3"
"30","Cd86"
"31","Sele"
"32","Inhbb"
"33","Selp"
"34","Cd93"
"35","Csf2rb2"
"36","Scn7a"
"37","Adgrv1"
"38","Rmst"
"39","Zic1"
"40","Lrrtm2"
