"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_diff"
"1",0,3.46790899447717,0.158,0.015,0,"0","Tspan8",0.143
"2",3.80513657349201e-304,3.34010958004536,0.135,0.012,5.72026181093054e-300,"0","Cytl1",0.123
"3",0,3.31465879482703,0.229,0.025,0,"0","Krt16",0.204
"4",2.95454458914466e-124,3.23675228668858,0.06,0.006,4.44156688086117e-120,"0","Gdf5",0.054
"5",0,3.23292580883514,0.878,0.109,0,"0","Matn1",0.769
"6",1.42603370532801e-136,3.15270553854832,0.063,0.006,2.1437564692196e-132,"0","Gm35608",0.057
"7",0,3.0637704949267,0.696,0.069,0,"0","Ucma",0.627
"8",0,2.99338456743137,0.994,0.304,0,"0","Col11a2",0.69
"9",0,2.97658000780883,0.993,0.297,0,"0","Col9a1",0.696
"10",0,2.96950933786542,0.577,0.06,0,"0","Itih5l-ps",0.517
"11",0,2.96090180642853,0.743,0.093,0,"0","Epyc",0.65
"12",0,2.94696393003052,0.998,0.714,0,"0","Col2a1",0.284
"13",0,2.94147480598539,0.982,0.248,0,"0","Col9a3",0.734
"14",1.55740231180938e-87,2.92384371711948,0.064,0.012,2.34124289534304e-83,"0","4930592A05Rik",0.052
"15",0,2.86899032378687,0.21,0.023,0,"0","5830432E09Rik",0.187
"16",0,2.86829829900274,0.986,0.251,0,"0","Col9a2",0.735
"17",0,2.84982603250111,0.984,0.223,0,"0","Cnmd",0.761
"18",0,2.84747855441655,0.826,0.119,0,"0","Moxd1",0.707
"19",0,2.83024292953793,0.929,0.187,0,"0","Fmod",0.742
"20",0,2.82255432835264,0.26,0.026,0,"0","Ccn6",0.234
"21",0,2.77630669085495,0.8,0.221,0,"0","Tafa2",0.579
"22",0,2.74145389230183,0.34,0.036,0,"0","Scrg1",0.304
"23",0,2.73678844048573,0.581,0.082,0,"0","Stk32b",0.499
"24",0,2.72506626390656,0.996,0.428,0,"0","Acan",0.568
"25",1.11951940263176e-154,2.71752390854802,0.073,0.007,1.68297351797632e-150,"0","Lypd3",0.066
"26",4.61097488535027e-79,2.71373581015021,0.062,0.013,6.93167854514706e-75,"0","1700006J14Rik",0.049
"27",1.53829695921238e-254,2.71151672080744,0.116,0.01,2.31252181878397e-250,"0","Klk8",0.106
"28",0,2.69667256206754,0.815,0.105,0,"0","Meltf",0.71
"29",0,2.68879366327697,0.584,0.116,0,"0","Igsf9b",0.468
"30",1.23445586752399e-271,2.68077793556498,0.141,0.016,1.85575750564881e-267,"0","Rlbp1",0.125
"31",2.78414826719389e-25,2.67614409589387,0.016,0.003,4.18541009007258e-21,"0","Gm14455",0.013
"32",0,2.64503809404947,0.999,0.697,0,"0","Col11a1",0.302
"33",0,2.64250515392593,0.802,0.111,0,"0","Matn3",0.691
"34",0,2.63698903018354,0.874,0.173,0,"0","Srxn1",0.701
"35",0,2.61340637254438,0.257,0.027,0,"0","Abhd1",0.23
"36",0,2.60567202174518,0.718,0.138,0,"0","Bmp5",0.58
"37",0,2.60160545070993,0.356,0.043,0,"0","Neu2",0.313
"38",0,2.58886170103459,0.545,0.085,0,"0","Aldh1l2",0.46
"39",4.24195374074765e-182,2.58120194328184,0.124,0.021,6.37692905846594e-178,"0","Adgra1",0.103
"40",1.63335955464917e-146,2.58074772570841,0.073,0.008,2.45542941850409e-142,"0","Fam25c",0.065
"41",0,2.57748843717158,0.851,0.142,0,"0","Bcat1",0.709
"42",0,2.5419717628721,0.905,0.119,0,"0","Susd5",0.786
"43",0,2.52884597770624,0.611,0.082,0,"0","Ngef",0.529
"44",0,2.52760347976624,0.817,0.135,0,"0","Loxl3",0.682
"45",0,2.50151252751068,0.555,0.064,0,"0","Clec3a",0.491
"46",0,2.50073583309823,0.432,0.051,0,"0","Snorc",0.381
"47",0,2.49779361114513,0.207,0.028,0,"0","Plet1",0.179
"48",0,2.49773618134107,0.297,0.039,0,"0","Gm43154",0.258
"49",0,2.48789345934472,0.584,0.07,0,"0","Mia",0.514
"50",0,2.46175866835377,0.209,0.023,0,"0","Gm36287",0.186
"51",8.3597937031213e-14,5.85662956285642,0.012,0.002,1.25672778739023e-09,"1","Mmrn1",0.01
"52",0.00754015409959369,3.18672961438052,0.008,0.015,1,"1","Col17a1",-0.007
"53",4.68292041187576e-51,3.11693637648754,0.118,0.048,7.03983425517283e-47,"1","Cdh5",0.07
"54",3.13102722604356e-29,3.01454435314464,0.087,0.04,4.70687322891128e-25,"1","Emcn",0.047
"55",1.22237813405237e-25,2.99872889482554,0.086,0.042,1.83760104892093e-21,"1","Ptprb",0.044
"56",0.000197467554170151,2.95413778022826,0.051,0.037,1,"1","Kdr",0.014
"57",0.000128208340693005,2.85010069855333,0.051,0.037,1,"1","Tek",0.014
"58",0.000181167916477725,2.77691053894615,0.013,0.025,1,"1","Gm13391",-0.012
"59",0.0028180173354152,2.77236684612199,0.015,0.024,1,"1","Cavin2",-0.009
"60",0.00808635705837678,2.73687964607792,0.027,0.038,1,"1","Gm21859",-0.011
"61",4.67379020170409e-05,2.63845217391195,0.013,0.026,0.702610881022176,"1","Ttn",-0.013
"62",0.00308858409041963,2.58307518007125,0.006,0.013,1,"1","Mmrn2",-0.007
"63",0.00168072528734235,2.5259625118322,0.027,0.04,1,"1","Palmd",-0.013
"64",1.63533593990264e-05,2.41695894743991,0.015,0.03,0.245840051845563,"1","Cdca7l",-0.015
"65",2.88693626648287e-13,2.35956013646638,0.083,0.051,4.3399312894037e-09,"1","Adgrf5",0.032
"66",5.38215186247354e-07,2.34920809922904,0.013,0.031,0.00809098889485647,"1","Sema3b",-0.018
"67",0.00640059558300987,2.33053222561869,0.006,0.012,1,"1","Edn1",-0.006
"68",1.23271904319309e-07,2.31753285168551,0.003,0.017,0.00185314653763218,"1","Mrpl44",-0.014
"69",4.97100406743022e-05,2.26600261033972,0.002,0.011,0.747291041456785,"1","Ethe1",-0.009
"70",0.00348468150423814,2.24035091846127,0.004,0.01,1,"1","Edar",-0.006
"71",0.000291592337467559,2.22382861628037,0.125,0.113,1,"1","Pecam1",0.012
"72",0.000104733374271842,2.21484818602006,0.007,0.017,1,"1","Gm36862",-0.01
"73",8.18401094370539e-05,2.18910836968677,0.006,0.016,1,"1","Il18r1",-0.01
"74",6.91321104005921e-09,2.18906579460486,0.004,0.021,0.00010392630156521,"1","Hectd2os",-0.017
"75",0.000943050017253477,2.12593579386468,0.009,0.018,1,"1","Iigp1",-0.009
"76",0.00101652709503965,2.11721071621297,0.055,0.077,1,"1","Filip1",-0.022
"77",1.02745315163731e-11,2.10288041213642,0.018,0.048,1.54457032285637e-07,"1","Tex29",-0.03
"78",0.000680980255699744,2.09159062773484,0.004,0.011,1,"1","Tfap2c",-0.007
"79",1.58890998945613e-05,2.07842801757453,0.004,0.015,0.23886083871494,"1","Lmo2",-0.011
"80",3.66252623112994e-12,2.0470963877825,0.007,0.031,5.50587568325763e-08,"1","Icam2",-0.024
"81",3.41124720737427e-07,2.03804022618538,0.015,0.034,0.00512812792684573,"1","Ppp1r16b",-0.019
"82",0.000191340874539086,2.03502788254278,0.011,0.023,1,"1","Cdh3",-0.012
"83",3.27346420074153e-08,2.01372256151052,0.007,0.024,0.000492099873297474,"1","Npr1",-0.017
"84",6.8208466107254e-06,1.99487828937786,0.005,0.017,0.102537787099035,"1","2900009J06Rik",-0.012
"85",0.000401526032002501,1.98195281893853,0.013,0.024,1,"1","Flt4",-0.011
"86",3.73812565174521e-07,1.97744447987022,0.008,0.023,0.00561952429226857,"1","Esam",-0.015
"87",0.000177831501210918,1.96183409977321,0.005,0.013,1,"1","Gm12185",-0.008
"88",4.58012387522041e-06,1.95642744932058,0.001,0.01,0.0688530022161884,"1","Fibcd1",-0.009
"89",0.000288641344600892,1.95428880366274,0.02,0.034,1,"1","Slfn5",-0.014
"90",0.000741134111919514,1.94021292929672,0.007,0.015,1,"1","Clec2l",-0.008
"91",2.31212401081386e-05,1.9397835370586,0.003,0.013,0.347581602545647,"1","Serpinb9",-0.01
"92",6.92853669590588e-07,1.93378242426741,0.002,0.012,0.0104156692149553,"1","D330050G23Rik",-0.01
"93",1.10497284501001e-05,1.93045523235231,0.002,0.012,0.166110567790355,"1","D530033B14Rik",-0.01
"94",0.00398837389848627,1.9289907694464,0.007,0.014,1,"1","Parvg",-0.007
"95",1.04896469239277e-05,1.92550924067567,0.007,0.019,0.157690862207405,"1","Kank3",-0.012
"96",8.91642764972987e-06,1.9241728036926,0.006,0.018,0.134040656858389,"1","Gm48089",-0.012
"97",6.58705885073947e-07,1.92270146135691,0.024,0.046,0.00990232557031665,"1","Arap3",-0.022
"98",8.74962664498842e-06,1.89761430942353,0.007,0.02,0.131533137354111,"1","Neb",-0.013
"99",8.99999096346769e-07,1.89747652672678,0.014,0.032,0.013529686415381,"1","Rnf125",-0.018
"100",6.08664329081649e-07,1.8823457369094,0.007,0.022,0.00915005085908442,"1","Htr2a",-0.015
"101",3.43960771252811e-53,6.42915601944333,0.024,0.002,5.17076227424351e-49,"2","Sult1c1",0.022
