cluster,cell_type,sub_type,tentative,notes
0,unknown.1,,,top50 genes do not relate according to stringDB
1,epith,,,cytokeratins mainly
2,chondro.1,early,,
3,unknown.2,,eryth,"immune, metabolic, neural"
4,osteo.2,,,
5,mes,,fibroblasts,"muscle, neuronal"
6,vasc,endothelial,,
7,olf,olfactory,,
8,chondro.2,mid,,
9,neu.1,,,ECM-rich
10,endocr,,pituitary,
11,neu.2,,glial,
12,neu.3,,brain,
13,chondro.3,hypertrophic,,
14,chondro.4,mitotic,,strongly cell cycle associated
15,myeloid,myeloid,,
16,vasc,endothelial,,
17,unknown.3,,neural crest,many developmental TFs
18,osteo.1,mitotic,,strongly cell cycle associated
19,musc,,smooth muscle,smooth muscle contraction
20,neu.4,,,
21,neu.5,,brain,
22,osteocl,,,
